,first,second,third
0,0.2532972,0.23587824,0.2240495
1,0.056719277,0.048332483,0.048959933
2,0.045179345,0.04520251,0.032690693
3,0.07148855,0.068793066,0.123446666
4,0.008019456,0.0046967077,0.009460527
5,0.09280127,0.070935905,0.085972115
6,0.04010584,0.035006326,0.043759998
7,0.036875557,0.057300825,0.03824705
8,0.004639446,0.007623302,0.008519934
9,0.016659325,0.020321257,0.015257379
10,0.14652395,0.15881774,0.15195462
11,0.19026606,0.20027906,0.18258028
12,0.0073845284,0.020218601,0.011736343
13,0.008478531,0.0065607787,0.006600111
14,0.0059212,0.0047364067,0.0070612323
15,0.015640413,0.015296838,0.009703623
